,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
3476,power-plant,dropoutFCN,32,0.001,0.0001,0.1,0.01,0.005
3477,kin8nm,noisyFCN,32,0.01,0.002,0.01,0.001,0.01
3480,power-plant,dropoutFCN,32,0.001,0.0001,0.1,0.01,0.001
3481,power-plant,dropoutFCN,32,0.001,0.0005,0.1,0.01,0.2
3482,power-plant,dropoutFCN,32,0.001,0.0005,0.1,0.01,0.1
3484,power-plant,dropoutFCN,32,0.001,0.0005,0.1,0.01,0.05
3485,power-plant,dropoutFCN,32,0.001,0.0005,0.1,0.01,0.01
3486,kin8nm,noisyFCN,32,0.01,0.002,0.01,0.005,0.01
3487,power-plant,dropoutFCN,32,0.001,0.0005,0.1,0.01,0.005
3488,power-plant,dropoutFCN,32,0.001,0.0005,0.1,0.01,0.001
3489,power-plant,dropoutFCN,32,0.001,0.001,0.1,0.01,0.2
3491,power-plant,dropoutFCN,32,0.001,0.001,0.1,0.01,0.1
3492,power-plant,dropoutFCN,32,0.001,0.001,0.1,0.01,0.05
3493,power-plant,dropoutFCN,32,0.001,0.001,0.1,0.01,0.01
3494,power-plant,dropoutFCN,32,0.001,0.001,0.1,0.01,0.005
3495,power-plant,dropoutFCN,32,0.001,0.001,0.1,0.01,0.001
3496,power-plant,dropoutFCN,32,0.001,0.002,0.1,0.01,0.2
3497,power-plant,dropoutFCN,32,0.001,0.002,0.1,0.01,0.1
3498,power-plant,dropoutFCN,32,0.001,0.002,0.1,0.01,0.05
3499,power-plant,noisyFCN,32,1e-05,0.0001,0.01,0.05,0.01
3500,kin8nm,noisyFCN,32,0.01,0.002,0.01,0.01,0.01
3501,power-plant,dropoutFCN,32,0.001,0.002,0.1,0.01,0.01
3502,power-plant,dropoutFCN,32,0.001,0.002,0.1,0.01,0.005
3505,power-plant,dropoutFCN,32,0.001,0.002,0.1,0.01,0.001
3506,power-plant,dropoutFCN,32,0.0001,0.0001,0.1,0.01,0.2
3508,power-plant,dropoutFCN,32,0.0001,0.0001,0.1,0.01,0.1
3509,kin8nm,noisyFCN,32,0.01,0.002,0.01,0.05,0.01
3510,power-plant,dropoutFCN,32,0.0001,0.0001,0.1,0.01,0.05
3512,power-plant,dropoutFCN,32,0.0001,0.0001,0.1,0.01,0.01
3514,power-plant,dropoutFCN,32,0.0001,0.0001,0.1,0.01,0.005
3515,kin8nm,noisyFCN,32,0.01,0.002,0.01,0.1,0.01
3516,power-plant,dropoutFCN,32,0.0001,0.0001,0.1,0.01,0.001
3517,power-plant,noisyFCN,32,1e-05,0.0001,0.01,0.1,0.01
3518,power-plant,dropoutFCN,32,0.0001,0.0005,0.1,0.01,0.2
3519,power-plant,dropoutFCN,32,0.0001,0.0005,0.1,0.01,0.1
3521,power-plant,dropoutFCN,32,0.0001,0.0005,0.1,0.01,0.05
3523,power-plant,dropoutFCN,32,0.0001,0.0005,0.1,0.01,0.01
3524,power-plant,dropoutFCN,32,0.0001,0.0005,0.1,0.01,0.005
3525,power-plant,dropoutFCN,32,0.0001,0.0005,0.1,0.01,0.001
3526,power-plant,dropoutFCN,32,0.0001,0.001,0.1,0.01,0.2
3527,power-plant,dropoutFCN,32,0.0001,0.001,0.1,0.01,0.1
3528,power-plant,dropoutFCN,32,0.0001,0.001,0.1,0.01,0.05
3529,power-plant,dropoutFCN,32,0.0001,0.001,0.1,0.01,0.01
3530,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0001,0.001,0.01,0.01
3531,power-plant,dropoutFCN,32,0.0001,0.001,0.1,0.01,0.005
3533,power-plant,dropoutFCN,32,0.0001,0.001,0.1,0.01,0.001
3534,power-plant,dropoutFCN,32,0.0001,0.002,0.1,0.01,0.2
3535,power-plant,dropoutFCN,32,0.0001,0.002,0.1,0.01,0.1
3536,power-plant,dropoutFCN,32,0.0001,0.002,0.1,0.01,0.05
3537,kin8nm,noisyFCN,32,0.001,0.0001,0.01,0.001,0.01
3538,power-plant,dropoutFCN,32,0.0001,0.002,0.1,0.01,0.01
3539,power-plant,noisyFCN,32,1e-05,0.0005,0.01,0.001,0.01
3540,power-plant,dropoutFCN,32,0.0001,0.002,0.1,0.01,0.005
3541,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0001,0.005,0.01,0.01
3542,power-plant,dropoutFCN,32,0.0001,0.002,0.1,0.01,0.001
3544,power-plant,dropoutFCN,32,1e-05,0.0001,0.1,0.01,0.2
3545,power-plant,dropoutFCN,32,1e-05,0.0001,0.1,0.01,0.1
3547,power-plant,dropoutFCN,32,1e-05,0.0001,0.1,0.01,0.05
3548,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0001,0.01,0.01,0.01
3550,power-plant,dropoutFCN,32,1e-05,0.0001,0.1,0.01,0.01
3551,power-plant,dropoutFCN,32,1e-05,0.0001,0.1,0.01,0.005
3553,power-plant,noisyFCN,32,1e-05,0.0005,0.01,0.005,0.01
3554,power-plant,dropoutFCN,32,1e-05,0.0001,0.1,0.01,0.001
3555,power-plant,dropoutFCN,32,1e-05,0.0005,0.1,0.01,0.2
3557,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0001,0.05,0.01,0.01
3558,power-plant,dropoutFCN,32,1e-05,0.0005,0.1,0.01,0.1
3559,power-plant,dropoutFCN,32,1e-05,0.0005,0.1,0.01,0.05
3560,kin8nm,noisyFCN,32,0.001,0.0001,0.01,0.005,0.01
3562,power-plant,dropoutFCN,32,1e-05,0.0005,0.1,0.01,0.01
3563,power-plant,dropoutFCN,32,1e-05,0.0005,0.1,0.01,0.005
3564,power-plant,dropoutFCN,32,1e-05,0.0005,0.1,0.01,0.001
3566,power-plant,dropoutFCN,32,1e-05,0.001,0.1,0.01,0.2
3567,power-plant,dropoutFCN,32,1e-05,0.001,0.1,0.01,0.1
3568,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0001,0.1,0.01,0.01
3569,power-plant,dropoutFCN,32,1e-05,0.001,0.1,0.01,0.05
3570,power-plant,noisyFCN,32,1e-05,0.0005,0.01,0.01,0.01
3572,power-plant,dropoutFCN,32,1e-05,0.001,0.1,0.01,0.01
3573,power-plant,dropoutFCN,32,1e-05,0.001,0.1,0.01,0.005
3574,power-plant,dropoutFCN,32,1e-05,0.001,0.1,0.01,0.001
3575,power-plant,dropoutFCN,32,1e-05,0.002,0.1,0.01,0.2
3577,power-plant,dropoutFCN,32,1e-05,0.002,0.1,0.01,0.1
3578,power-plant,dropoutFCN,32,1e-05,0.002,0.1,0.01,0.05
3580,power-plant,dropoutFCN,32,1e-05,0.002,0.1,0.01,0.01
3581,power-plant,dropoutFCN,32,1e-05,0.002,0.1,0.01,0.005
3582,power-plant,dropoutFCN,32,1e-05,0.002,0.1,0.01,0.001
3583,power-plant,noisyFCN,32,1e-05,0.0005,0.01,0.05,0.01
3585,power-plant,dropoutFCN,32,1e-09,0.0001,0.1,0.01,0.2
3587,power-plant,dropoutFCN,32,1e-09,0.0001,0.1,0.01,0.1
3588,kin8nm,noisyFCN,32,0.001,0.0001,0.01,0.01,0.01
3590,power-plant,dropoutFCN,32,1e-09,0.0001,0.1,0.01,0.05
3592,power-plant,dropoutFCN,32,1e-09,0.0001,0.1,0.01,0.01
3594,power-plant,noisyFCN,32,1e-05,0.0005,0.01,0.1,0.01
3595,power-plant,dropoutFCN,32,1e-09,0.0001,0.1,0.01,0.005
3597,power-plant,dropoutFCN,32,1e-09,0.0001,0.1,0.01,0.001
3598,power-plant,dropoutFCN,32,1e-09,0.0005,0.1,0.01,0.2
3599,power-plant,dropoutFCN,32,1e-09,0.0005,0.1,0.01,0.1
3600,power-plant,dropoutFCN,32,1e-09,0.0005,0.1,0.01,0.05
3601,power-plant,dropoutFCN,32,1e-09,0.0005,0.1,0.01,0.01
3602,power-plant,dropoutFCN,32,1e-09,0.0005,0.1,0.01,0.005
3603,power-plant,dropoutFCN,32,1e-09,0.0005,0.1,0.01,0.001
3604,power-plant,dropoutFCN,32,1e-09,0.001,0.1,0.01,0.2
3605,power-plant,noisyFCN,32,1e-05,0.001,0.01,0.001,0.01
3606,power-plant,dropoutFCN,32,1e-09,0.001,0.1,0.01,0.1
3607,power-plant,dropoutFCN,32,1e-09,0.001,0.1,0.01,0.05
3608,power-plant,dropoutFCN,32,1e-09,0.001,0.1,0.01,0.01
3609,power-plant,dropoutFCN,32,1e-09,0.001,0.1,0.01,0.005
3611,power-plant,dropoutFCN,32,1e-09,0.001,0.1,0.01,0.001
3612,power-plant,dropoutFCN,32,1e-09,0.002,0.1,0.01,0.2
3613,kin8nm,noisyFCN,32,0.001,0.0001,0.01,0.05,0.01
3614,power-plant,dropoutFCN,32,1e-09,0.002,0.1,0.01,0.1
3615,power-plant,dropoutFCN,32,1e-09,0.002,0.1,0.01,0.05
3616,power-plant,noisyFCN,32,1e-05,0.001,0.01,0.005,0.01
3617,power-plant,dropoutFCN,32,1e-09,0.002,0.1,0.01,0.01
3618,power-plant,dropoutFCN,32,1e-09,0.002,0.1,0.01,0.005
3619,power-plant,dropoutFCN,32,1e-09,0.002,0.1,0.01,0.001
3622,power-plant,noisyFCN,32,1e-05,0.001,0.01,0.01,0.01
3623,kin8nm,noisyFCN,32,0.001,0.0001,0.01,0.1,0.01
3625,power-plant,noisyFCN,32,1e-05,0.001,0.01,0.05,0.01
3627,kin8nm,noisyFCN,32,0.001,0.0005,0.01,0.001,0.01
3630,kin8nm,noisyFCN,32,0.001,0.0005,0.01,0.005,0.01
3631,power-plant,noisyFCN,32,1e-05,0.001,0.01,0.1,0.01
3633,kin8nm,noisyFCN,32,0.001,0.0005,0.01,0.01,0.01
3634,power-plant,noisyFCN,32,1e-05,0.002,0.01,0.001,0.01
